norad_id,epoch,bstar,mean_motion,mean_motion_dot,eccentricity,perigee_km,apogee_km,semi_major_axis_km,source_group,prev_epoch,prev_perigee,prev_sma,prev_bstar,hours_elapsed,perigee_rate_km_per_day,sma_rate_km_per_day,alt_band,mean_ap,activity_tau6h,activity_tau12h,activity_tau18h,activity_tau24h
100223,2026-08-24 21:29:13.270000+00:00,0.0019014,15.752659,0.00294445,0.0000922,343.25482,344.49435,6722.0117,spacetrack,2026-08-23 22:37:01.076000+00:00,342.943,6721.943,0.0017071,22.87005388888889,0.32722616380174435,0.07209427699671654,300-350,5.142248413785742,8.440673360055527,6.852007827288323,6.327236691582963,6.062987035543863
100223,2026-08-25 12:44:00.960000+00:00,0.0011156,15.752523,0.00170088,0.000082,343.36212,344.46454,6722.0503,spacetrack,2026-08-24 21:29:13.270000+00:00,343.25482,6722.0117,0.0019014,15.246580555555557,0.16890344629188803,0.06076116520822665,300-350,6.600109970013313,4.738100118724543,5.2404824335613345,5.37891091978687,5.411164889475552
100223,2026-08-26 14:39:08.429000+00:00,0.0015188,15.752858,0.00233688,0.0001339,342.91785,344.718,6721.955,spacetrack,2026-08-25 12:44:00.960000+00:00,343.36212,6722.0503,0.0011156,25.91874138888889,-0.41138108675953355,-0.08824502570095273,300-350,3.074029111217238,3.570698806891062,3.5408554735578663,3.752923313251553,3.953238136560933
100223,2026-08-27 13:31:21.994000+00:00,0.0014489,15.752289,0.00222068,0.0000998,343.30896,344.6507,6722.1167,spacetrack,2026-08-26 14:39:08.429000+00:00,342.91785,6721.955,0.0015188,22.870434722222225,0.41042682896097415,0.16968632416160045,300-350,3.3441314001161007,3.5104226227638446,3.457144245398264,3.5094898875311964,3.6094784818858328
100223,2026-08-28 13:55:02.618000+00:00,0.0010478,15.752245,0.00159349,0.0000678,343.5368,344.44833,6722.1294,spacetrack,2026-08-27 13:31:21.994000+00:00,343.30896,6722.1167,0.0014489,24.39461777777778,0.22415436264722133,0.01249455936477104,300-350,5.291805032038943,11.444225578749556,8.074403173633717,6.70724563055128,6.004104910206674
100223,2026-08-29 12:47:13.312000+00:00,0.0017741,15.753101,0.00274603,0.000079,343.2179,344.27997,6721.8857,spacetrack,2026-08-28 13:55:02.618000+00:00,343.5368,6722.1294,0.0010478,22.869637222222224,-0.3346620641871866,-0.2557452023907283,300-350,23.520295019011986,15.673676806346915,17.403248838233957,16.520320801479002,15.24425763493122
100224,2026-08-23 22:25:20.017000+00:00,0.00081256,15.75233,0.00123059,0.000142,343.01364,344.92273,6722.105,spacetrack,2026-08-22 14:24:15.226000+00:00,343.203,6722.1035,0.00088807,32.0179975,-0.14194016974356885,0.0011243676305960825,300-350,5.044419609453853,5.649307729942535,5.458617862283266,5.303336098639627,5.199835213062722
100224,2026-08-24 21:17:32.355000+00:00,0.0018138,15.752663,0.00280412,0.0002319,342.31482,345.43246,6722.0107,spacetrack,2026-08-23 22:25:20.017000+00:00,343.01364,6722.105,0.00081256,22.87009388888889,-0.7333454808486192,-0.09895892911456308,300-350,5.065630748880228,8.440673360055525,6.852007827288323,6.327236691582963,6.062987035543862
100224,2026-08-25 14:03:48.992000+00:00,0.0012912,15.752019,0.00197083,0.0002391,342.4495,345.66406,6722.194,spacetrack,2026-08-24 21:17:32.355000+00:00,342.31482,6722.0107,0.0018138,16.771288055555555,0.1927293830559039,0.2623054344688294,300-350,6.49142884523363,4.738100118724542,5.240482433561334,5.378910919786869,5.411164889475553
100224,2026-08-26 14:27:29.647000+00:00,0.0013518,15.751899,0.00206457,0.0002047,342.7148,345.4669,6722.228,spacetrack,2026-08-25 14:03:48.992000+00:00,342.4495,6722.194,0.0012912,24.394626388888888,0.26100830152089094,0.033449989640476095,300-350,3.0161767752700093,3.5706988068910612,3.5408554735578663,3.752923313251554,3.953238136560934
