"norad_id","epoch","bstar","mean_motion","mean_motion_dot","eccentricity","perigee_km","apogee_km","semi_major_axis_km","source_group"
20453,"2026-08-26 20:01:08.64+00",0.00070206,15.846683,0.00177994,0.0037183,292.36353,342.1545,6695.396,"spacetrack"
20453,"2026-08-27 17:11:02.397+00",0.00080975,15.85025,0.00208903,0.003695,291.5185,340.99002,6694.391,"spacetrack"
20453,"2026-08-28 23:24:43.05+00",0.00080859,15.854716,0.00212394,0.0035535,291.21307,338.7812,6693.1343,"spacetrack"
20453,"2026-08-29 23:35:13.332+00",0.00082226,15.85944,0.00220588,0.0034662,290.47293,336.8632,6691.805,"spacetrack"
20775,"2026-08-22 22:11:36.408+00",0.00038475,14.942679,0.00013867,0.0342631,346.0793,823.2124,6962.7827,"spacetrack"
20775,"2026-08-23 14:15:55.958+00",0.00039888,14.942878,0.00014388,0.0342647,346.0086,823.1597,6962.721,"spacetrack"
20775,"2026-08-24 20:48:06.945+00",0.00042729,14.943266,0.00015432,0.0342625,345.9077,823.0199,6962.6006,"spacetrack"
20775,"2026-08-25 14:28:49.901+00",0.00042876,14.943485,0.00015495,0.0342594,345.86346,822.92786,6962.5327,"spacetrack"
20775,"2026-08-26 12:58:48.675+00",0.00041787,14.9437475,0.00015115,0.0342561,345.80774,822.82056,6962.451,"spacetrack"
20775,"2026-08-27 14:41:36.862+00",0.00047672,14.944072,0.00017257,0.0342532,345.73068,822.6962,6962.3506,"spacetrack"
20775,"2026-08-28 21:13:38.821+00",0.00046188,14.944449,0.00016742,0.034249,345.6465,822.54553,6962.233,"spacetrack"
20775,"2026-08-29 13:17:51.239+00",0.00047765,14.944667,0.00017326,0.0342482,345.58698,822.4702,6962.1655,"spacetrack"
22913,"2026-08-22 15:16:20.714+00",0.0013133,13.24629,0.0023553,0.1258614,217.43741,2116.7432,7545.227,"spacetrack"
22913,"2026-08-23 18:23:29.732+00",0.0013255,13.251396,0.00237569,0.1256285,217.49998,2112.8042,7543.289,"spacetrack"
22913,"2026-08-24 14:16:23.27+00",0.0013958,13.255568,0.00249558,0.1254331,217.58981,2109.549,7541.7065,"spacetrack"
22913,"2026-08-25 15:34:09.069+00",0.0012666,13.260392,0.00226782,0.1252099,217.67279,2105.8074,7539.877,"spacetrack"
22913,"2026-08-26 15:03:04.273+00",0.0011792,13.264407,0.00210822,0.1250104,217.84576,2102.5916,7538.3555,"spacetrack"
22913,"2026-08-27 10:54:55.06+00",0.0013932,13.267903,0.00248126,0.1248544,217.86255,2099.9255,7537.0312,"spacetrack"
22913,"2026-08-28 12:11:19.304+00",0.0011792,13.27253,0.00210417,0.1246332,217.99666,2096.2886,7535.28,"spacetrack"
